2017-04-23T21:13:35.013-0400 I NETWORK  [conn36] received client metadata from 127.0.0.1:50525 conn36: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:13:35.018-0400 I -        [conn36] end connection 127.0.0.1:50525 (2 connections now open)
2017-04-23T21:13:35.493-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50526 #37 (2 connections now open)
2017-04-23T21:13:35.493-0400 I NETWORK  [conn37] received client metadata from 127.0.0.1:50526 conn37: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:13:35.495-0400 I -        [conn37] end connection 127.0.0.1:50526 (2 connections now open)
2017-04-23T21:13:35.869-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50527 #38 (2 connections now open)
2017-04-23T21:13:35.871-0400 I NETWORK  [conn38] received client metadata from 127.0.0.1:50527 conn38: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:13:35.875-0400 I -        [conn38] end connection 127.0.0.1:50527 (2 connections now open)
2017-04-23T21:13:39.641-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50528 #39 (2 connections now open)
2017-04-23T21:13:39.642-0400 I NETWORK  [conn39] received client metadata from 127.0.0.1:50528 conn39: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:13:39.646-0400 I -        [conn39] end connection 127.0.0.1:50528 (2 connections now open)
2017-04-23T21:13:42.234-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50529 #40 (2 connections now open)
2017-04-23T21:13:42.235-0400 I NETWORK  [conn40] received client metadata from 127.0.0.1:50529 conn40: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T21:13:42.244-0400 I -        [conn40] end connection 127.0.0.1:50529 (2 connections now open)
2017-04-23T22:25:17.891-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50765 #41 (2 connections now open)
2017-04-23T22:25:17.896-0400 I NETWORK  [conn41] received client metadata from 127.0.0.1:50765 conn41: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T22:25:17.939-0400 I -        [conn41] end connection 127.0.0.1:50765 (2 connections now open)
2017-04-23T22:25:33.164-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:50769 #42 (2 connections now open)
2017-04-23T22:25:33.169-0400 I NETWORK  [conn42] received client metadata from 127.0.0.1:50769 conn42: { driver: { name: "nodejs", version: "2.2.26" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.4.0" }, platform: "Node.js v7.8.0, LE, mongodb-core: 2.1.10" }
2017-04-23T22:25:33.181-0400 I -        [conn42] end connection 127.0.0.1:50769 (2 connections now open)
